Year,K1,K2,K3,K4,K5
1990,5.32505616220648,2.3993877626604942,1.0978241555849553,0.049036651596379294,0.016976210190545193
1991,5.616687568723262,2.5368316829577973,1.1134642118979161,0.05101086508534812,0.020435135429661737
1992,5.613557263815979,2.5608402347910144,1.113269080194526,0.057936769240775246,0.024415731485427316
1993,5.62451627732618,2.583075612257728,1.1281262272795471,0.06446757182406375,0.02973571749002191
1994,5.645215569150668,2.617629547972169,1.1333110575356034,0.07389681958062527,0.03435413737030138
1995,5.662512633166635,2.6449784481056957,1.1409895703983257,0.08030293857533743,0.041871086749245424
1996,5.670610417309348,2.67817725629088,1.1717335337806891,0.07858262484215864,0.04807445702252329
1997,5.689301609457708,2.71474019081315,1.1936997536917349,0.07066175955729445,0.05674790210046857
1998,5.690517516772673,2.7567717782358456,1.2280730047754786,0.06378559425515867,0.06449747077588501
1999,5.69483133250707,2.7964553766476548,1.262302576814299,0.06543885441029275,0.06387164378186447
2000,5.7104315737352485,2.8368156150329367,1.3071124411878698,0.06461284039323918,0.06714069994893405
2001,5.7290381658485705,2.875781624306461,1.3472799623488223,0.06890947768987186,0.06849013709411078
2002,5.732359925488524,2.9196790097605976,1.3728305957602838,0.0676981113736718,0.06942962492121152
2003,5.760618589283277,2.991433908128415,1.4160354093005512,0.07108745176582369,0.07301897022516379
2004,5.767976452223023,3.0443756903588595,1.4542683029570025,0.07463694901839225,0.07540609334196069
2005,5.773018595102002,3.094183393235639,1.4982505565741766,0.07603322188595796,0.07809690957649165
2006,5.749327847985324,3.1341102416377797,1.5508175344856807,0.07890232528208724,0.08239478284547089
2007,5.722247593997832,3.1671138311946305,1.5961844307185005,0.08029221609649079,0.08226269509916184
2008,5.709002252219878,3.2158318010083615,1.6421439274624197,0.0817967541047774,0.08709559904912509
2009,5.649734367142654,3.2304293972845017,1.6807287655795737,0.08289071625789826,0.08802409224681754
2010,5.6688248500119,3.2782443720287304,1.7327893240179741,0.0845085651024772,0.090509102738794
2011,5.717385713215515,3.366051587496095,1.8130812327494676,0.08935404405368594,0.09493436999060681
2012,5.750070304818071,3.454899233226693,1.9039160258022993,0.09461762334541625,0.1016972362009685
2013,5.775218711192094,3.5387746376155476,1.994724076581877,0.10411887890228536,0.10476559243491534
2014,5.808981776306515,3.6094666373678406,2.069491952696042,0.10809594924511212,0.11242380389172169
2015,5.848541704977595,3.6763145739779377,2.1452981639823534,0.11169941386186531,0.11763665694183423
2016,5.9011719348618055,3.7609695881627223,2.2197473085900006,0.1136397461452797,0.12309404198206121
2017,5.962545597994601,3.8689576612888916,2.330687889485046,0.12049617052066791,0.12932950406951155
2018,6.051364165548258,3.99060990140873,2.4514525503107842,0.1283299686955545,0.1389606751138224
2019,6.158983998161947,4.099598811610493,2.561678945126304,0.1385523833791643,0.14656201429878798
2020,6.342838988614135,4.2661925387864965,2.7106444160453727,0.14825527755966192,0.1593162436414962
2021,6.6080139878749335,4.469673437109445,2.858511633238469,0.15509552026503803,0.1698929342022017
2022,6.857723066915593,4.584331959305749,2.916434520848169,0.15634086243585804,0.17258519436169845
2023,7.212224112923092,4.746011518811028,2.971988825253412,0.16355380885375592,0.17631618619562725
2024,7.687800335749589,4.977669982308989,3.0720021127307913,0.16951724798575474,0.18511172044683216
2025,8.186785405240755,5.221869190853105,3.1677995704929973,0.17694390885341477,0.19261453785934746
2026,8.687260086540157,5.476704242445367,3.2565622402322942,0.1836644564492637,0.19887332997346938
2027,9.184655303026311,5.736532575895326,3.3370646408651536,0.1916850703114664,0.20306818538591043
2028,9.669275010823675,6.000737032226603,3.4260063371829164,0.19849561352135514,0.21000901920102402
2029,10.146743028626233,6.235999525345555,3.4881141827819926,0.2049260510809579,0.21517784696887038
2030,10.595051853428625,6.483472923312867,3.5576265727264476,0.20762919065679047,0.21987020464983226
2031,11.03426677837759,6.707216950599378,3.6244315976257853,0.2117729364736607,0.22471447305005193
2032,11.441791390056492,6.927340454037976,3.6739083598326494,0.21992032277878304,0.2342080103615317
2033,11.831631576545707,7.1376426917427995,3.714861073598719,0.22538504074586635,0.23993906931280623
2034,12.19654380824463,7.34818080236488,3.7399562061550022,0.22786802422119817,0.24437588092413426
2035,12.557335164433336,7.558481422943702,3.7825013585625804,0.23341760974209802,0.24750006154696336
2036,12.902812542483046,7.764046300334769,3.837331158415063,0.24032947310790106,0.25058900624978986
2037,13.221836972618679,7.962019491330425,3.882739670514416,0.2513970068860864,0.2547609304831482
2038,13.513047519905552,8.170770246251521,3.9284345807940486,0.2531094650953994,0.26049175002605496
2039,13.792529615939824,8.387172005221192,3.9680838763990067,0.2616543318673582,0.26492806622723236
2040,14.081860405740233,8.603834687039827,4.0218889334990475,0.2668404407860498,0.2715810637813145
2041,14.331275768886034,8.810309611553985,4.073152458372373,0.27966127546750175,0.2808098894326993
2042,14.536318707336363,8.999146070683548,4.131042587525055,0.2854581053130427,0.29324733737463
2043,14.738979350711228,9.209089690508405,4.201702640066945,0.29361658237162946,0.3045484543256557
2044,14.929072580694971,9.400047888691638,4.279643169290644,0.303530740349539,0.32121092433938814
2045,15.105970688208956,9.619724450229432,4.355416060333298,0.31244211001395256,0.336622003786966
2046,15.291561561559547,9.826428738150774,4.444452953099436,0.32319607469944306,0.3525756661105644
2047,15.460774648052897,10.01679210656302,4.505460235093674,0.3285083308674368,0.3662470443985151
2048,15.610473141406331,10.214503726653248,4.555505439085767,0.33837646181954567,0.38061171109734115
2049,15.773744774098933,10.401500492199544,4.6211760067874295,0.3473786146416714,0.39716810596529867
2050,15.893860447306658,10.583062253830295,4.698624008647007,0.35986090054592546,0.41503650752059373
